forecastdate,state,district,special,candidate,party,incumbent,model,win_probability,voteshare,p10_voteshare,p90_voteshare
8/1/2018,AK,1,,Don Young,R,TRUE,classic,0.7185,49.35,43.04,55.59
8/1/2018,AK,1,,Alyse S. Galvin,D,FALSE,classic,0.2815,44.11,37.77,50.39
8/1/2018,AK,1,,Others,,FALSE,classic,0,6.54,2.6,11.17
8/1/2018,AL,1,,Bradley Byrne,R,TRUE,classic,0.9993,64.9,59.71,69.94
8/1/2018,AL,1,,Robert Kennedy Jr.,D,FALSE,classic,0.0007,35.1,30.06,40.29
8/1/2018,AL,2,,Martha Roby,R,TRUE,classic,0.9729,58.23,52.84,63.54
9/1/2019,AL,2,,Tabitha Isner,D,FALSE,classic,0.0271,41.77,36.46,47.16
8/1/2018,AL,3,,Mike Rogers,R,TRUE,classic,0.9972,62.27,57.14,67.42
8/1/2018,AL,3,,Mallory Hagan,D,FALSE,classic,0.0028,37.73,32.58,42.86
10/1/2018,AL,4,,Robert B. Aderholt,R,TRUE,classic,1,76.32,71.05,81.54
8/1/2018,AL,4,,Lee Auman,D,FALSE,classic,0,23.68,18.46,28.95
8/1/2018,AL,5,,Mo Brooks,R,TRUE,classic,0.998,63.41,58.1,68.75
8/1/2018,AL,5,,Peter Joffrion,D,FALSE,classic,0.002,36.59,31.25,41.9
8/1/2018,AL,6,,Gary Palmer,R,TRUE,classic,0.9998,66.99,61.86,72.03
8/1/2018,AL,6,,Danner Kline,D,FALSE,classic,0.0002,33.01,27.97,38.14
8/19/2018,AL,7,,Terri A. Sewell,D,TRUE,classic,1,100,100,100
8/1/2018,AR,1,,Rick Crawford,R,TRUE,classic,0.9984,62.37,56.59,68.08
8/1/2018,AR,1,,Chintan Desai,D,FALSE,classic,0.0015,34.3,28.55,40.06
12/1/2019,AR,1,,Elvis Presley,LIB,FALSE,classic,0.0001,3.33,0.96,6.34
8/1/2018,AR,2,,French Hill,R,TRUE,classic,0.7578,51.03,46.18,55.8
8/1/2018,AR,2,,Clarke Tucker,D,FALSE,classic,0.2422,46.06,41.23,50.92
8/1/2018,AR,2,,Joe Ryne Swafford,LIB,FALSE,classic,0,2.91,0.77,5.64
8/1/2018,AR,3,,Steve Womack,R,TRUE,classic,0.9991,63.33,57.8,68.83
8/1/2018,AR,3,,Josh Mahony,D,FALSE,classic,0.0009,33.32,27.84,38.82
8/1/2018,AR,3,,Michael Kalagias,LIB,FALSE,classic,0,3.34,0.95,6.37
8/1/2018,AR,4,,Bruce Westerman,R,TRUE,classic,0.9987,62.58,56.87,68.15
8/1/2018,AR,4,,Hayden Shamel,D,FALSE,classic,0.0013,34.1,28.49,39.75
8/1/2018,AR,4,,Tom Canada,LIB,FALSE,classic,0,3.33,0.95,6.35
8/1/2018,AZ,1,,Tom O'Halleran,D,TRUE,classic,0.9745,58.38,53.05,63.8
8/1/2018,AZ,1,,Wendy Rogers,R,FALSE,classic,0.0255,41.62,36.2,46.95
8/1/2018,AZ,2,,Ann Kirkpatrick,D,FALSE,classic,0.9159,55.55,50.42,60.74
8/1/2018,AZ,2,,Lea Marquez Peterson,R,FALSE,classic,0.0841,44.45,39.26,49.58
8/1/2018,AZ,3,,Raul Grijalva,D,TRUE,classic,0.9999,69.06,63.43,74.68
8/1/2018,AZ,3,,Nick Pierson,R,FALSE,classic,0.0001,30.94,25.32,36.57
8/1/2018,AZ,4,,Paul A. Gosar,R,TRUE,classic,0.9993,64.6,58.65,70.44
8/1/2018,AZ,4,,David Brill,D,FALSE,classic,0.0007,31.82,25.87,37.72
8/1/2018,AZ,4,,Haryaksha Gregor Knauer,G,FALSE,classic,0,3.58,1.08,6.7
8/1/2018,AZ,5,,Andy Biggs,R,TRUE,classic,0.9978,63.76,58.32,69.21
8/1/2018,AZ,5,,Joan Greene,D,FALSE,classic,0.0022,36.24,30.79,41.68
8/1/2018,AZ,6,,David Schweikert,R,TRUE,classic,0.8199,53.81,48.43,59.18
8/1/2018,AZ,6,,Anita Malik,D,FALSE,classic,0.1801,46.19,40.82,51.57
8/1/2018,AZ,7,,Ruben Gallego,D,TRUE,classic,0.9999,85.94,78.53,92.63
8/1/2018,AZ,7,,Gary Swing,G,FALSE,classic,0.0001,14.06,7.37,21.47
8/1/2018,AZ,8,,Debbie Lesko,R,TRUE,classic,0.7873,53.26,47.94,58.52
8/1/2018,AZ,8,,Hiral Tipirneni,D,FALSE,classic,0.2127,46.74,41.48,52.06
8/1/2018,AZ,9,,Greg Stanton,D,FALSE,classic,0.9894,60.04,54.76,65.32
8/1/2018,AZ,9,,Steve Ferrara,R,FALSE,classic,0.0106,39.96,34.68,45.24
8/1/2018,CA,1,,Doug LaMalfa,R,TRUE,classic,0.8189,53.87,48.38,59.39
8/1/2018,CA,1,,Audrey Denney,D,FALSE,classic,0.1811,46.13,40.61,51.62
8/1/2018,CA,2,,Jared Huffman,D,TRUE,classic,1,79.97,75.33,84.65
8/1/2018,CA,2,,Dale K. Mensing,R,FALSE,classic,0,20.03,15.35,24.67
8/1/2018,CA,3,,John Garamendi,D,TRUE,classic,0.9986,64.14,58.96,69.41
8/1/2018,CA,3,,Charlie Schaupp,R,FALSE,classic,0.0014,35.86,30.59,41.04
8/1/2018,CA,4,,Tom McClintock,R,TRUE,classic,0.8382,54.23,48.65,59.77
8/1/2018,CA,4,,Jessica Morse,D,FALSE,classic,0.1618,45.77,40.23,51.35
8/1/2018,CA,5,,Mike Thompson,D,TRUE,classic,0.9994,79.94,71.76,87.61
8/1/2018,CA,5,,Anthony Mills,I,FALSE,classic,0.0006,20.06,12.39,28.24
8/1/2018,CA,6,,Doris O. Matsui,D,TRUE,classic,1,78.4,73.7,83.13
8/1/2018,CA,6,,Jrmar Jefferson,D,FALSE,classic,0,21.6,16.87,26.3
